#pa,m^3/s
#转速:一级17000,二级14600
1836.98007,0
1833.10563,3.03237333333333
1829.2287,5.72781333333333
1829.2287,8.42322666666667
1825.35426,12.1294666666667
1821.47982,15.4987466666667
1817.60289,19.2049866666667
1809.85152,22.9112
1802.10015,26.2805066666667
1798.22571,30.3237333333333
1794.35127,32.3453333333333
1782.72297,35.3776
1774.9716,37.736
1763.34579,39.7576
1747.84554,42.1162666666667
1724.59143,44.4746666666667
1705.21425,47.1701333333333
1681.96014,50.2024
1658.70852,52.5610666666667
1635.45441,55.2565333333333
1619.95416,57.2781333333333
1608.32586,59.2994666666667
1600.57698,61.3210666666667
1596.70005,64.0165333333333
1596.70005,66.3752
1600.57698,68.3968
1604.45142,70.4181333333333
1608.32586,72.7768
1608.32586,75.4722666666667
1604.45142,78.8416
1588.94868,81.5368
1561.82013,84.9061333333333
1538.56851,87.2648
1515.3144,89.6232
1488.18585,91.9818666666667
1453.30842,94.3402666666667
1418.4285,96.6986666666667
1391.29995,98.0464
1360.29696,100.068
1325.41704,102.0896
1294.41156,103.7744
1263.40857,105.121866666667
1224.65421,107.143466666667
1193.64873,108.4912
1166.52018,109.838933333333
1143.26856,111.186666666667
1108.38864,112.871466666667
1077.38565,114.2192
1054.13154,115.229866666667
1019.25411,116.5776
984.37419,118.262133333333
945.61983,119.946933333333
902.98854,121.631466666667
844.857,124.664
782.84853,127.359466666667
728.59143,130.054666666667
685.96014,132.076266666667
623.95416,134.434933333333
573.5715,136.456533333333
503.81415,139.8256
457.30842,141.5104
399.17439,143.8688
348.79422,145.8904
310.03986,147.5752
255.78276,149.5968
209.276283,151.281333333333
155.019432,152.965866666667
100.762581,154.987466666667
46.50573,157.009066666667
0,159.030666666667

